Team,Overall,Attack,Midfield,Defense,Logo_URL,Stadium_Name,Stadium_Capacity
Anderlecht,73,77,74,71,https://upload.wikimedia.org/wikipedia/en/7/77/R.S.C._Anderlecht.svg,Lotto Park,21500
Antwerp,71,77,70,69,https://upload.wikimedia.org/wikipedia/en/0/0b/Royal_Antwerp_Football_Club_logo.svg,Bosuilstadion,16649
Beerschot VA,65,63,67,65,https://upload.wikimedia.org/wikipedia/fr/f/f5/Beerschot_Anvers.svg,Olympisch Stadion,12975
Cercle brugge,68,67,68,66,https://upload.wikimedia.org/wikipedia/commons/b/bd/Logo_Cercle_Brugge_2022.png,Jan Breydel Stadium,29042
Dender,66,65,65,66,https://upload.wikimedia.org/wikipedia/fr/f/fe/FCVDEH.png,Florent Beeckmanstadion,3250
Genk,72,72,72,74,https://upload.wikimedia.org/wikipedia/commons/7/77/Logo_KRC_Genk.png,Cegeka Arena,25000
Gent,71,70,71,72,https://upload.wikimedia.org/wikipedia/en/f/f4/KAA_Gent_logo.svg,Ghelamco Arena,20000
Kortrijk,68,68,69,66,https://upload.wikimedia.org/wikipedia/en/1/17/KV_Kortrijk_logo_2016.svg,Guldensporenstadion,9399
Mechelen,69,70,70,68,https://upload.wikimedia.org/wikipedia/en/2/28/KV_Mechelen_logo.svg,AFAS-stadion Achter de Kazerne,16672
Oostende,68,68,68,66,https://upload.wikimedia.org/wikipedia/en/8/87/KV_Oostende_logo.svg,Diaz Arena,8432
Oud-Heverlee Leuven,69,67,70,68,https://upload.wikimedia.org/wikipedia/fr/1/12/Logo_OH_Leuven_2024.svg,Den Dreef,10020
RWD Molenbeek,67,70,68,65,https://upload.wikimedia.org/wikipedia/en/5/5a/RWD-Molenbeek.png,Stade Edmond Machtens,12266
Seraing,65,66,65,64,https://upload.wikimedia.org/wikipedia/fr/2/2f/Logo_RFC_Seraing_2015.svg,Stade du Pairay,5303
St truiden,69,68,71,67,https://upload.wikimedia.org/wikipedia/en/f/f1/K._Sint-Truidense_V.V._logo.png,Stayen,14600
Waasland-beveren,67,70,67,67,https://upload.wikimedia.org/wikipedia/fr/b/b9/SK_Beveren_%28logo%29.svg,Freethiel Stadion,13290
Waregem,68,70,68,66,https://upload.wikimedia.org/wikipedia/fr/7/7b/Logo_SV_Zulte_Waregem_2021.svg,Regenboogstadion,13500
Westerlo,69,71,69,69,https://upload.wikimedia.org/wikipedia/en/1/17/K.V.C._Westerlo_logo.png,Het Kuipje,8035
Charleroi,69,67,70,69,https://upload.wikimedia.org/wikipedia/en/e/e1/Royal_Charleroi_Sporting_Club_logo.svg,Stade du Pays de Charleroi,15000
Eupen,67,67,67,66,https://upload.wikimedia.org/wikipedia/en/d/d3/Kas_Eupen_Logo.svg,Kehrwegstadion,8363
Mouscron,68,69,67,67,https://upload.wikimedia.org/wikipedia/en/f/f1/Royal_Excel_Mouscron_logo.svg,Stade Le Canonnier,10571
Union,71,71,71,74,https://upload.wikimedia.org/wikipedia/commons/f/f6/USG.png,Stade Joseph Marien,8000
Standard,69,70,66,69,https://upload.wikimedia.org/wikipedia/en/7/7e/Standard_Li%C3%A8ge_logo.svg,Stade Maurice Dufrasne,27670
Club brugge,74,74,75,74,https://upload.wikimedia.org/wikipedia/en/d/d0/Club_Brugge_KV_logo.svg,Jan Breydel Stadium,29042
